musicname,artistname,diff,difficult,level,puc_count
V.I.P.,ismK,NOV,0,6,7
V.I.P.,ismK,ADV,1,11,3
V.I.P.,ismK,EXH,2,17,10
V.I.P.,ismK,HVN,6,18,0
ノイジーラバーソウル(EXIT TUNES),Last Note. feat. GUMI,NOV,0,5,7
ノイジーラバーソウル(EXIT TUNES),Last Note. feat. GUMI,ADV,1,10,9
ノイジーラバーソウル(EXIT TUNES),Last Note. feat. GUMI,EXH,2,15,13
ディストピア・ジパング(EXIT TUNES),cosMo＠暴走P feat. GUMI,NOV,0,4,7
ディストピア・ジパング(EXIT TUNES),cosMo＠暴走P feat. GUMI,ADV,1,8,7
ディストピア・ジパング(EXIT TUNES),cosMo＠暴走P feat. GUMI,EXH,2,13,67
地球最後の告白を(EXIT TUNES),kemu feat. GUMI,NOV,0,3,11
地球最後の告白を(EXIT TUNES),kemu feat. GUMI,ADV,1,8,8
地球最後の告白を(EXIT TUNES),kemu feat. GUMI,EXH,2,12,100
チェックメイト(EXIT TUNES),ゆちゃP feat. GUMI,NOV,0,3,9
チェックメイト(EXIT TUNES),ゆちゃP feat. GUMI,ADV,1,7,9
チェックメイト(EXIT TUNES),ゆちゃP feat. GUMI,EXH,2,12,36
カミサマネジマキ(EXIT TUNES),kemu feat. GUMI,NOV,0,4,9
カミサマネジマキ(EXIT TUNES),kemu feat. GUMI,ADV,1,10,5
カミサマネジマキ(EXIT TUNES),kemu feat. GUMI,EXH,2,15,100
カミサマネジマキ(EXIT TUNES),kemu feat. GUMI,GRV,5,17,6
VISION,nora2r,NOV,0,3,9
VISION,nora2r,ADV,1,8,8
VISION,nora2r,EXH,2,13,50
VISION,nora2r,GRV,5,16,9
TRIGGER★HAPPY,P*Light,NOV,0,5,5
TRIGGER★HAPPY,P*Light,ADV,1,10,9
TRIGGER★HAPPY,P*Light,EXH,2,14,100
TRIGGER★HAPPY,P*Light,GRV,5,16,7
大宇宙ステージ,黒魔,NOV,0,5,13
大宇宙ステージ,黒魔,ADV,1,11,5
大宇宙ステージ,黒魔,EXH,2,17,42
大宇宙ステージ,黒魔,GRV,5,19,5
éclair au chocolat,kamome sano,NOV,0,3,12
éclair au chocolat,kamome sano,ADV,1,9,9
éclair au chocolat,kamome sano,EXH,2,13,20
éclair au chocolat,kamome sano,GRV,5,17,6
EGG,ginkiha,NOV,0,3,10
EGG,ginkiha,ADV,1,9,7
EGG,ginkiha,EXH,2,14,40
EGG,ginkiha,GRV,5,17,5
Absurd Gaff,siromaru,NOV,0,6,4
Absurd Gaff,siromaru,ADV,1,12,8
Absurd Gaff,siromaru,EXH,2,16,18
Absurd Gaff,siromaru,GRV,5,18,4
Max Burning!!,BlackY,NOV,0,7,18
Max Burning!!,BlackY,ADV,1,13,24
Max Burning!!,BlackY,EXH,2,17,44
Max Burning!!,BlackY,INF,4,18,9
PANIC HOLIC,C-Show,NOV,0,6,7
PANIC HOLIC,C-Show,ADV,1,11,6
PANIC HOLIC,C-Show,EXH,2,16,38
PANIC HOLIC,C-Show,GRV,5,18,42
Dynasty,Yooh,NOV,0,6,9
Dynasty,Yooh,ADV,1,12,10
Dynasty,Yooh,EXH,2,16,12
Dynasty,Yooh,INF,4,17,9
Gott,Hommarju,NOV,0,6,38
Gott,Hommarju,ADV,1,11,43
Gott,Hommarju,EXH,2,16,64
Gott,Hommarju,INF,4,17,12
croiX,TeamGrimoire+あま猫,NOV,0,6,6
croiX,TeamGrimoire+あま猫,ADV,1,12,2
croiX,TeamGrimoire+あま猫,EXH,2,16,7
croiX,TeamGrimoire+あま猫,INF,4,18,9
Rot in hell！！,EastNewSound,NOV,0,3,8
Rot in hell！！,EastNewSound,ADV,1,8,8
Rot in hell！！,EastNewSound,EXH,2,13,37
物凄い勢いでけーねが物凄いうた,Halozy,NOV,0,5,7
物凄い勢いでけーねが物凄いうた,Halozy,ADV,1,10,12
